name,duration,description,address,picture,city,activities_category
St. Peter's Basilica,0.5,"Arguably one of the finest Cathedrals in the entire world, St. Peter's is the spiritual center of the Vatican and the product of many of Italy's great Renaissance's architects, among them Bramante, Raphael and Michelangelo.","Piazza San Pietro, 00120 Vatican City, Italy",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/14574204_1448580511837363_4346465414167920640_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=107&oh=fc60c45e352051288a0184ab64df10cc&oe=5E66DC9E,Roma,Landmarks
Colosseum,3,"Perhaps the best-preserved of the monuments of ancient Rome, this huge marble structure was built to hold more than 50,000 spectators to witness bloody contests of might and the slaughter of wild beasts.","Piazza del Colosseo, 00184 Rome, Italy",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/74576238_2522445404476089_1091107624686097143_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=109&oh=4533b70aeccd2a1848821e80d02010a1&oe=5E7E4CA7,Roma,Landmarks
Pantheon,1,"Dedicated to the seven planetary divinities and featuring an interior of gorgeous marble, the Pantheon is one of the most impressive monuments of Augustan Rome.","Piazza della Rotonda, 00186 Rome, Italy",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/65972841_457670348360036_4411115177388930940_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=108&oh=f6b674477a0fd90dcccc5c951999fa62&oe=5E7C8BC2,Roma,Landmarks
Roman Forum,1,Roman Forum is a rectangular forum (plaza) surrounded by the ruins of several important ancient government buildings at the center of the city of Rome.,"Piazza Santa Maria Nova, 53, 00186 Rome, Italy",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/70950252_201948454172449_4832085271650037842_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=101&oh=42a452434f7b8657d2d15f3fb381ea31&oe=5E7248D5,Roma,Landmarks
Palatine Hill,1,"The commercial, political and religious center of ancient Rome, which features the Arch of Septimus Severus, Temple of Saturn, Arch of Titus and the House of the Vestals.","Piazza Santa Maria Nova, 53, 00186 Rome, Italy",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/67109333_2887853981241604_5745070249103670090_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=104&oh=a1c855a7c39bc94a554535a04267bdce&oe=5E7A8DA7,Roma,Landmarks
Trevi Fountain,1,"Certainly the most famous and photographed fountain in Rome, legend has it that whoever throws a coin into the pond will return to Rome.","Piazza di Trevi, 00187 Rome, Italy",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/75553991_736982690131565_2308196016476593639_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=105&oh=65b55625158e2457bfda85df822535c3&oe=5E7117A8,Roma,Landmarks
Galleria Borghese,2,"The Museum in the beautiful setting of Villa Borghese in Rome preserves sculptures, reliefs and ancient mosaics, and paintings and sculptures from the fifteenth to the eighteenth century. The collection, made up initially by Cardinal Scipione Borghese in the early seventeenth century, preserves masterpieces of Antonello da Messina, Giovanni Bellini, Raffaello, Tiziano, Correggio, Caravaggio and beautiful sculptures of Gian Lorenzo Bernini and Canova.","Piazzale del Museo Borghese 5, 00197 Rome, Italy",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/75602169_824176544679269_6582825953390473447_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=105&oh=7370cfdc7763a85c5ffab9a2a7cca803&oe=5E6DA2B5,Roma,Landmarks
Basilica di Santa Maria Maggiore,1,"One of seven pilgrimage basilicas in the world, this church was founded in 432 AD and is where the famous architect Bernini is buried.","Piazza di Santa Maria Maggiore 42, 00185 Rome, Italy",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/57615011_348146669383470_7718419322233690235_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=106&oh=dfef48c3aee48fb5e3e714cc42e298fd&oe=5E6A2C5F,Roma,Landmarks
Trastevere,1,"This busy and lively neighborhood has the look and feel of a traditional small Italian town, with people shopping, chatting, drinking espresso and going about their daily business.","00153 Rome, Italy",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/70436582_1211395285720043_8892565177959024392_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=111&oh=47a30aea51f2b9483daf0b12d473b656&oe=5E821A4F,Roma,Landmarks
Museo Nazionale di Castel Sant'Angelo,3,"The Museum is divided into four sections, the history of Castel Sant'Angelo is illustrated by vintage prints, scenic views and interesting reconstructions ideals of the monument, as suggested by the imagination of artists and architects of the Renaissance, from its construction until the nineteenth century, in a path that highlights the intense and ongoing.","Lungotevere Castello 50, 00193 Rome, Italy",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/73372172_885894941843789_7653847757731956118_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=105&oh=eb0dcd6276fd97a0e9cc8fce5b8f3c85&oe=5E89613D,Roma,Landmarks
Piazza Navona,1,"The most outstanding square of the Baroque period in Rome features Bernini's Fountain of Rivers at its center as it faces Borromini's church, Sant' Agnese in Agone.","00186 Rome, Italy",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/71810272_560651094737996_2200264745618546125_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=108&oh=7ee1b726b0767eda3e1c51906de4b488&oe=5E7EDE9C,Roma,Landmarks
Vatican City,2,"The world's smallest state, center of Catholicism, and home to the Pope.","Piazza San Pietro, 00120 Vatican City, Italy",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/75567008_448770299377778_1543757595514858859_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=1&oh=72f2bf07332bbb69c181f21299665fcf&oe=5E7F54B8,Roma,Landmarks
Musei Capitolini,1,"The creation of the Capitoline Museums has been traced back to 1471, when Pope Sixtus IV donated a group of bronze statues of great symbolic value to the People of Rome. The collections are closely linked to the city of Rome, and most of the exhibits come from the city itself.","Piazza del Campidoglio 1, 00186 Rome, Italy",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c0.180.1440.1440a/s640x640/71580158_2973266162713102_1524128013628699514_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=110&oh=1af3232f5f92eb325c8843c27050e850&oe=5E7E0710,Roma,Landmarks
Cupola di San Pietro,1,"Michelangelo's masterpiece.A model for numerous other domes, St. Peterâ€™s Dome has a height of 136 meters and an internal diameter of 42 meters, making it one of the largest domes in the world.","Piazza san Pietro, 00120 Vatican City, Italy",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/64938704_277350989775781_5725155619386999059_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=101&oh=21607a7116f44308fd14d34f485c16c7&oe=5E8B1A6C,Roma,Landmarks
Palazzo Doria Pamphilj,1,Stunning palace located in a central location. Full of galleries of gorgeous paintings. Make sure to ask for the audio guide to get the full experience.,"Via del Corso 305, 00186 Rome, Italy",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/58409767_417729959057720_3913424757434602788_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=108&oh=900cc98d059701e79d3e1f7fd4da82d8&oe=5E6EEBD0,Roma,Landmarks
Villa Borghese,2,"Famous villa constructed at the beginning of the 17th century for Cardinal Scipione Caffarelli Borghese, nephew of Pope Paul V, which is surrounded by one of the largest and most beautiful public parks in Rome.","P.zzale del Museo Borghese, 00155 Rome, Italy",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/79895163_2884408144916968_331681320780674432_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=104&oh=55aeee18c262b037ca74839cdbb792eb&oe=5E6C4D17,Roma,Landmarks
St. Peter's Square,1,This grand and magnificent square has retained its classical beauty and serves as the place from which the masses receive the Pope's weekly blessing.,"Piazza San Pietro, 00120 Vatican City, Italy",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/21371806_507789882886846_3542901613184155648_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=110&oh=f217812ec504df739ae7b2e026b934f2&oe=5E8770D5,Roma,Landmarks
Piazza Venezia,1,"Close to many tourist attractions such as the Roman Forum and Capitol Hill, this large sunny square is the true hub of Rome, which features the impressive monument of King Vittorio Emmanuele II.","Piazza Venezia, 00187 Rome, Italy",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/73387306_427608404622288_3182946128570632526_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=100&oh=bb19bb1deec921575b5731f00ebd5839&oe=5E83C6C0,Roma,Landmarks
